Variable:,pr
,India,"Andaman and Nicobar","Andhra Pradesh",Assam,Delhi,Goa,Gujarat,Haryana,"Himachal Pradesh",Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,"Tamil Nadu",Tripura,"West Bengal","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Arunachal Pradesh",Bihar,Chandigarh,Chhattisgarh,"Dadra and Nagar Haveli","Daman and Diu",Jharkhand,"Madhya Pradesh",Puducherry,"Uttar Pradesh",Uttarakhand
1911,1021.57,2792.24,694.55,3056.50,607.48,2374.36,258.22,489.64,906.30,1006.49,2685.77,1636.20,905.94,2332.41,5529.99,3390.49,2331.15,1254.49,547.98,251.64,1582.90,921.86,3334.17,1864.07,171.35,336.25,460.18,622.50,588.83,639.95,620.41,1039.29,1148.56,671.71,2110.36,1464.77,1001.90,1345.87,1137.69,310.65,1421.04,867.28,1653.10,967.70,1096.78
1912,1060.89,2672.48,803.46,2421.43,804.52,2514.55,862.96,635.75,938.48,1176.88,2998.94,1692.30,1069.91,1936.58,3987.15,2801.30,1975.88,1250.42,613.93,467.99,1361.76,1059.64,2615.79,1579.79,167.91,309.71,426.01,533.46,507.29,552.45,528.73,934.80,1046.79,595.95,1936.58,1005.76,1166.70,1264.82,2077.90,1191.16,1025.71,979.20,1999.90,908.65,1232.44
1913,1094.00,2530.10,737.44,2779.45,474.48,2322.69,945.43,430.23,941.18,969.30,2319.76,1460.70,1134.23,2200.00,4780.73,3194.53,2177.93,1361.47,561.93,377.81,1635.01,941.55,3106.80,2135.15,187.99,375.67,495.64,662.02,624.41,675.86,639.50,1029.11,1130.63,682.87,2074.81,1618.01,970.00,1345.39,2173.23,916.45,1594.12,951.24,1899.82,804.33,1003.23
1914,1175.45,2980.99,916.31,2219.98,928.69,3649.91,909.17,747.72,1271.11,1217.77,2694.88,1907.60,1401.24,1772.87,4005.92,2749.50,1704.07,1374.58,862.52,486.26,1518.25,1004.77,2515.16,1753.41,204.09,395.37,561.24,767.92,729.51,775.72,782.04,1415.62,1488.66,876.72,1617.75,1334.19,1520.80,1354.72,2685.14,1067.93,1244.46,1050.51,2005.00,1124.93,1588.15
1915,1168.79,2786.39,1085.23,2900.07,646.89,2676.94,410.49,506.63,918.18,1156.43,2996.89,1602.60,1288.14,2197.23,4997.52,3239.73,2255.33,1509.72,551.47,256.94,1651.60,1119.64,3076.63,1916.81,173.07,310.53,408.24,540.51,508.65,567.52,526.11,935.46,1049.46,592.42,2232.62,1557.14,1072.60,1471.75,1604.73,504.72,1399.04,1054.28,1864.16,1102.91,1226.34
1916,1277.51,3100.64,1157.58,2422.01,803.98,2888.21,836.69,671.08,969.89,1338.09,2790.46,1407.20,1502.45,1979.24,4057.41,2823.99,1918.02,1424.03,709.57,604.49,1458.51,1069.63,2825.11,2062.50,167.79,297.62,375.10,510.16,479.50,557.60,509.99,1145.25,1188.12,631.58,1843.26,1538.82,1163.80,1475.00,2590.03,948.16,1555.59,1280.71,1774.08,1186.66,1280.40
1917,1344.51,2623.97,1154.36,2498.22,1129.42,2607.02,1025.22,932.17,1456.26,1197.63,2494.92,1667.90,1333.14,1987.96,4253.82,2847.28,1989.48,1684.99,1031.89,828.65,1455.61,1062.14,2688.50,1991.03,238.50,460.31,536.36,813.44,748.60,900.19,773.20,1662.43,1779.97,904.41,1969.39,1434.56,1695.00,1601.59,2294.60,1066.73,1485.65,1306.65,1721.89,1333.15,1744.68
1918,856.58,3241.29,684.69,2358.17,424.27,1427.78,261.80,350.68,778.11,708.11,1903.65,1630.00,652.10,1789.53,4153.64,2730.96,1863.12,1140.34,441.34,207.38,1556.19,889.56,2533.79,1728.93,161.43,296.37,372.26,504.49,476.16,538.00,499.85,839.13,955.19,544.38,1851.46,1520.05,758.60,1210.45,945.65,240.30,1404.15,693.43,1446.32,779.19,778.30
1919,1185.54,2366.75,901.85,2522.76,771.13,2625.11,762.84,667.71,1044.85,1165.40,2712.08,1884.40,1200.10,1970.17,4321.22,3089.24,2027.24,1582.10,719.52,531.55,1335.79,1121.31,2871.96,1786.13,158.47,291.08,391.87,536.62,505.14,573.12,541.22,1073.54,1171.15,626.67,1909.90,1231.04,1250.30,1538.67,2342.60,755.61,1378.61,1288.90,2013.24,1024.99,1192.63
1920,911.77,3017.33,616.09,2226.25,649.85,2162.70,557.17,538.83,820.73,902.89,2579.66,1845.70,731.64,1807.56,4000.64,2689.82,1721.24,1137.49,512.17,398.43,1280.62,1122.97,2558.92,1696.93,164.74,309.85,458.18,528.64,502.80,531.47,508.24,811.78,932.28,570.10,1597.65,1012.98,959.60,987.20,1309.46,877.18,1113.67,779.22,1926.14,865.31,1098.09
1921,1114.62,2720.35,860.26,2802.54,726.37,2475.98,973.20,590.01,900.80,1126.14,2746.53,1478.80,1086.60,2100.60,4628.89,2898.88,2235.39,1190.98,638.30,481.19,1446.94,1115.68,2802.44,1667.82,200.50,386.96,557.26,630.87,602.09,632.38,603.44,1061.06,1159.69,696.84,2321.78,1248.69,1064.10,1303.36,2384.59,932.48,1292.22,1002.85,1969.79,971.36,1143.12
1922,1136.05,3414.35,746.31,2431.43,814.58,2461.12,671.55,639.15,1063.37,1030.28,3100.39,1856.20,1064.12,1926.30,4357.58,3109.59,1906.41,1349.74,734.10,417.36,1575.32,1180.20,2869.94,2010.52,188.30,347.61,493.85,609.81,576.84,624.72,590.54,1096.82,1217.49,682.66,1757.40,1574.14,1321.20,1382.91,1768.42,626.66,1563.72,1072.30,2167.00,1184.99,1410.46
1923,1058.07,3165.23,682.86,2351.68,785.99,2841.40,404.41,662.15,1174.07,1182.14,3103.38,1849.70,1049.98,1917.18,3876.16,2758.87,1906.50,1205.87,759.36,444.30,1320.02,877.71,2518.25,1550.25,218.23,444.74,605.41,795.17,750.52,821.33,778.90,1430.24,1528.22,882.49,1919.00,1123.74,1314.40,1287.99,1753.54,422.14,1230.14,1163.70,2169.35,1022.24,1234.05
1924,1152.86,2606.10,834.43,2851.45,930.82,2759.49,652.38,733.89,1095.22,1113.66,3158.76,1851.00,1067.94,2135.79,5043.03,3291.80,2258.97,1210.33,750.58,583.99,1497.54,977.70,3147.38,1784.25,187.53,368.89,551.43,689.55,657.94,687.98,689.61,1206.86,1317.69,775.66,2160.88,1396.42,1356.90,1248.69,1883.98,636.24,1313.60,1073.01,1807.33,1166.02,1426.30
1925,1113.68,2541.18,1013.74,2413.99,702.26,2446.42,433.07,563.59,996.95,1091.43,2741.88,1664.00,934.81,1842.26,4155.83,2899.34,1907.25,1620.65,616.38,316.82,1539.05,1153.47,2641.39,1943.03,183.15,335.14,412.67,558.36,525.55,611.33,555.08,1100.28,1185.17,652.23,1960.79,1459.74,1107.60,1475.32,1272.54,580.33,1412.95,1009.99,2070.23,1220.40,1269.66
1926,1142.19,3133.53,705.23,2175.80,840.79,2649.01,1027.29,695.57,1069.38,1067.47,2766.68,1562.30,1206.43,1754.00,3594.54,2611.98,1807.53,1553.01,736.43,616.48,1387.88,871.16,2421.28,1801.62,183.05,346.00,438.02,607.33,566.05,660.49,590.58,1196.08,1310.79,687.33,1837.08,1235.14,1224.10,1470.75,2653.26,1175.34,1329.43,1188.10,1831.77,1009.00,1221.93
1927,1121.28,2527.77,892.56,2884.81,681.57,2536.66,804.66,527.98,857.96,1031.76,2905.05,1353.40,1154.66,2190.81,5091.78,3218.22,2283.29,1470.89,538.42,479.40,1377.70,864.64,3101.09,1582.88,164.57,303.64,380.67,500.21,467.98,539.88,476.52,909.87,1022.86,546.50,2197.39,1083.81,981.80,1484.81,1967.29,794.57,1141.46,1034.82,1807.82,1013.03,1204.98
1928,1072.81,3005.61,899.41,2394.74,535.78,2454.21,742.76,471.73,936.34,1071.02,2131.43,1456.40,1175.72,1866.10,3831.60,2847.88,2015.34,1544.26,595.17,416.09,1395.10,987.82,2598.82,1921.92,176.60,334.97,430.82,591.84,548.55,642.16,562.85,1143.63,1257.99,660.82,2138.64,1226.00,956.50,1332.05,1999.61,739.93,1300.67,992.94,1716.14,768.62,992.76
1929,1076.44,2846.03,762.69,2521.62,544.04,2545.04,633.56,472.56,945.19,1131.53,3096.37,1770.30,993.50,2001.22,4440.19,2952.34,1929.43,1465.19,635.65,385.27,1477.76,1044.34,2737.54,1748.45,172.10,337.87,446.76,604.12,572.94,633.26,613.55,1291.41,1297.13,736.32,1813.81,1357.63,972.90,1442.86,1865.05,689.50,1311.86,983.97,1872.77,978.26,983.08
1930,1061.68,2992.63,979.50,2425.46,708.38,2210.19,702.33,575.22,933.19,1021.70,2508.22,1505.90,1056.55,1991.20,4033.82,2784.41,2014.27,1339.65,605.78,404.15,1322.65,1254.02,2587.68,1580.61,167.83,320.12,431.82,559.69,528.15,590.11,553.80,1071.67,1154.00,650.60,1998.47,1009.59,1078.80,1221.30,1986.72,800.12,1065.93,989.27,1831.49,982.76,1143.20
1931,1193.76,2605.11,981.95,2363.26,712.38,3348.58,761.01,587.68,915.05,1301.19,2554.33,1533.50,1450.18,1737.75,3734.99,2365.45,1926.72,1396.80,663.22,525.06,1426.56,1040.03,2326.45,1744.74,184.20,373.76,531.22,660.64,628.72,667.43,650.59,1184.87,1265.27,746.03,2155.16,1276.87,1045.90,1498.38,2509.92,754.08,1326.21,1303.58,2224.54,1064.59,1109.82
1932,1121.72,3222.20,851.07,2665.01,626.83,3391.13,758.47,493.57,806.12,1335.57,2930.14,1644.50,1330.07,2099.71,4380.21,3102.27,2141.22,1252.63,527.84,442.81,1289.70,1193.55,2852.06,1553.75,164.71,304.93,398.25,509.18,485.43,538.68,515.66,987.59,1044.66,599.39,2149.86,1049.02,883.40,1359.36,2209.85,851.36,1145.47,1104.15,2073.29,877.79,948.24
1933,1314.90,3099.57,1005.56,2157.44,1034.56,3067.77,1003.41,805.32,1158.95,1475.30,3184.80,1650.50,1538.55,1692.44,3652.51,2447.61,1754.65,1657.16,798.96,659.14,1460.69,1079.45,2361.33,2009.33,200.97,376.02,458.95,635.60,589.63,705.18,609.40,1320.50,1425.91,735.76,1804.07,1390.21,1380.60,1634.54,2385.17,1130.50,1476.62,1369.40,2073.10,1192.63,1585.32
1934,1160.62,3622.33,798.92,3028.76,728.37,2731.95,722.61,589.53,864.08,1014.96,2124.92,1305.00,1277.79,2269.92,5429.59,3210.71,2240.76,1428.18,539.39,550.04,1439.99,878.83,3337.87,1745.93,172.79,313.65,413.12,511.77,483.92,537.89,493.83,858.31,965.29,566.57,1913.40,1162.42,1060.10,1452.38,1983.30,839.72,1240.47,1342.76,1573.61,973.81,1168.31
1935,1076.62,3159.19,793.41,2339.36,721.19,2082.47,717.27,605.19,957.75,1105.63,2432.08,1489.40,1168.26,1851.96,3990.71,2806.50,1932.47,1104.56,629.51,479.44,1308.02,983.02,2460.91,1489.28,178.95,350.15,510.73,643.11,614.19,643.65,649.52,1128.92,1199.52,727.02,1924.01,1179.40,1097.10,1344.78,1932.10,910.56,1251.56,1165.87,1882.19,1015.60,1075.16
1936,1206.11,3101.09,974.84,2613.01,854.51,2318.09,542.45,665.82,1077.82,1009.37,2781.40,1569.10,1097.44,1996.76,4466.51,2840.84,2048.16,1833.51,661.14,384.05,1510.30,1009.56,2865.50,2043.35,193.71,381.24,534.81,660.43,632.78,668.34,660.25,1041.88,1164.52,712.21,2018.15,1599.43,1278.20,1749.66,1507.37,741.56,1652.28,1131.84,1796.30,1319.96,1577.38
1937,1118.73,3335.70,794.26,2076.03,625.14,2515.81,871.49,531.60,1017.75,1086.64,2997.13,1515.10,1200.56,1671.75,3676.07,2441.65,1637.97,1321.17,633.09,476.29,1487.80,1044.97,2270.33,1910.89,186.42,364.42,481.65,655.05,617.01,675.89,635.12,1079.88,1213.73,685.75,1580.45,1416.99,1121.70,1444.83,2115.20,1023.83,1419.66,1174.56,2077.85,970.39,1178.37
1938,1164.78,3291.06,998.11,2865.05,515.25,2333.76,590.38,416.28,815.44,1045.28,2522.04,1556.80,1446.34,2196.61,5130.88,3341.47,2246.62,1353.01,452.99,349.27,1621.70,817.79,3166.74,1707.01,167.02,299.70,398.14,495.27,469.67,522.93,488.92,846.62,945.25,559.37,2133.52,1496.84,890.90,1601.21,2065.30,689.83,1310.43,1206.26,1602.66,1075.83,1036.12
1939,1037.71,2882.59,813.50,2261.93,478.57,2939.69,494.66,396.21,752.02,1101.96,2618.56,1180.90,1014.60,1906.49,4021.84,2882.25,1768.01,1310.17,466.00,285.98,1378.72,1168.67,2582.70,1930.26,156.51,283.51,419.01,500.53,478.07,504.76,498.58,806.41,907.10,556.79,1691.73,1397.78,843.40,1299.10,1790.05,483.63,1461.38,1020.61,1915.94,989.54,897.76
1940,1162.96,2815.56,950.11,2557.74,674.52,2787.23,596.23,563.15,914.10,1299.76,3281.60,1515.20,1321.13,2058.57,4636.72,3064.24,1905.92,1514.16,581.36,402.46,1484.14,1125.21,3001.95,1746.11,188.72,353.62,469.70,574.31,543.54,609.62,559.11,991.89,1112.24,643.71,1599.73,1266.17,1034.70,1486.83,2336.55,886.10,1266.69,1205.49,2273.90,904.87,1032.21
1941,1009.96,2587.49,697.76,2679.39,493.67,2088.09,697.48,420.11,865.79,1015.59,2693.08,1568.80,878.39,2135.46,4929.76,3165.49,2022.96,1385.57,552.02,334.86,1417.57,1060.62,3199.31,2056.64,177.89,336.15,447.52,568.43,532.01,603.27,537.00,1022.04,1149.01,620.41,1831.13,1315.62,924.60,1163.17,1641.25,630.37,1416.32,845.54,1871.04,736.49,866.03
1942,1196.64,2948.60,722.76,2401.97,968.16,2948.63,759.54,809.80,1201.57,1127.59,2730.86,1808.90,1255.74,1834.38,4126.14,2681.42,1853.48,1268.85,837.97,631.46,1502.75,935.23,2513.87,1877.41,212.79,437.43,585.06,782.48,739.90,796.66,765.67,1383.08,1474.84,851.71,1718.63,1489.44,1412.90,1500.51,2268.39,641.66,1524.63,1332.98,1769.29,1196.14,1441.50
1943,1138.35,2966.74,901.77,2570.70,681.19,2513.65,776.32,528.43,854.64,1206.54,2766.70,1772.80,1192.45,1994.81,4364.96,2850.53,2023.31,1432.81,533.49,469.63,1474.61,1137.99,2762.64,1890.79,156.99,255.72,329.29,428.98,402.75,483.58,427.65,868.01,1003.90,519.52,1935.91,1378.93,962.70,1325.67,1867.19,966.32,1445.77,1024.65,1867.46,1043.08,1090.11
1944,1215.33,2966.74,952.48,2064.03,735.92,2680.61,995.00,640.15,1008.41,1100.01,2479.59,1719.90,1380.89,1677.11,3349.86,2421.38,1749.64,1470.34,672.57,606.69,1399.81,1170.67,2194.79,1706.44,194.05,413.43,584.57,768.58,732.62,755.01,766.06,1288.14,1312.00,837.64,1859.27,1361.05,1146.90,1589.30,2522.84,1166.91,1408.42,1472.55,1868.03,1038.52,1113.69
1945,1167.04,2966.74,871.47,2494.18,880.05,2656.98,1031.21,711.50,1004.89,950.10,2340.76,1543.90,1207.13,1920.36,4149.07,2720.62,2000.71,1384.71,704.59,642.45,1524.90,803.50,2594.55,1800.67,199.68,401.44,590.64,732.12,700.38,709.32,718.41,1127.59,1228.77,773.09,1983.12,1401.39,1243.30,1443.48,2406.91,1255.02,1312.93,1232.62,1482.39,1072.65,1281.14
1946,1219.21,2684.57,922.62,2538.19,700.67,3079.78,819.58,576.67,854.19,1411.46,3234.98,1665.60,1287.64,2073.12,4521.41,3049.77,1977.50,1574.99,549.24,526.97,1504.52,1371.06,2965.09,1876.00,148.94,254.92,290.60,411.23,381.03,473.64,399.16,820.27,946.94,469.20,1727.70,1441.85,988.00,1471.73,2339.17,1071.74,1483.75,1171.40,2607.05,1025.97,1078.58
1947,1205.91,3356.68,948.94,2817.74,792.05,2694.35,771.97,611.33,914.64,1161.66,2805.41,1584.00,1267.09,2207.82,4881.27,3450.64,2196.26,1464.18,630.48,492.71,1491.06,980.25,3285.47,1838.43,174.34,333.90,445.52,566.04,529.91,596.10,535.98,1061.98,1180.54,629.73,2196.63,1243.58,1095.20,1490.14,2392.15,872.02,1267.93,1340.36,1877.91,1096.22,1144.18
1948,1177.70,3309.58,817.34,2924.17,819.79,2919.63,400.15,660.09,1120.61,1265.29,2876.75,1441.60,1239.21,2145.91,4938.31,2878.95,2308.64,1362.36,784.96,425.66,1471.89,953.25,2852.69,1819.08,217.28,480.42,655.39,859.90,815.99,865.74,847.12,1517.71,1590.52,944.70,2204.28,1321.15,1257.40,1384.54,1543.70,423.67,1382.31,1245.84,1860.76,1235.84,1227.50
1949,1192.00,3456.90,1030.29,2738.48,768.20,2080.61,719.66,601.17,854.84,1049.42,2737.89,1574.90,1257.92,2143.12,4958.94,3272.29,2124.94,1327.26,587.97,457.70,1436.14,968.57,3237.93,1874.90,166.12,286.83,372.74,477.16,448.64,512.29,464.02,888.12,1000.00,549.73,2055.95,1525.82,1047.70,1480.71,2231.36,854.92,1506.13,1218.65,1742.39,1171.48,1232.33
1950,1092.73,2433.56,800.49,2324.78,899.94,2853.13,783.97,763.72,1250.48,1195.74,2820.85,1680.20,1052.34,1837.91,3896.62,2731.82,1947.45,1208.31,910.63,547.81,1363.27,832.90,2562.56,1702.71,216.05,417.97,592.39,800.97,749.86,822.41,778.89,1534.66,1656.23,896.97,1981.80,1259.03,1503.60,1187.06,1781.58,828.32,1269.52,967.39,1715.17,1080.24,1369.48
1951,1046.61,3205.42,836.77,2753.71,608.02,2592.82,427.70,487.64,904.57,1137.62,2510.01,1613.70,1026.88,2271.81,4948.83,3354.79,2136.23,1463.04,542.68,309.34,1282.13,953.92,3166.86,1610.78,213.77,400.33,539.12,681.00,648.32,688.74,668.35,1033.01,1142.92,719.91,1773.34,1142.33,956.40,1343.59,1511.06,570.20,1204.60,929.16,1612.79,947.21,1028.74
1952,993.75,3058.77,715.71,2721.44,663.09,2496.70,574.42,525.67,820.01,961.77,1920.19,1159.70,913.51,2134.60,4984.51,3240.98,2031.61,1284.16,505.52,419.37,1358.85,789.31,3046.37,1744.86,156.79,292.31,388.77,473.61,447.72,512.07,466.02,844.32,953.98,545.82,1843.83,1270.26,897.40,1135.85,1549.91,630.98,1280.11,825.01,1369.56,971.86,1040.71
1953,1149.64,2960.33,942.35,2617.09,708.44,4000.29,782.76,595.19,1016.57,1466.69,2874.62,1580.90,1257.57,2076.43,4626.07,3055.49,2045.94,1291.22,695.19,398.54,1460.56,1070.38,2983.29,1808.16,207.48,383.89,547.80,667.75,631.90,685.36,647.57,1209.75,1303.80,759.81,1809.83,1325.74,1211.70,1378.28,2069.51,1036.84,1327.01,940.06,1914.80,981.64,1140.75
1954,1175.67,2831.91,929.62,2474.71,793.39,3225.45,972.63,647.23,1087.40,1298.40,2700.40,1511.70,1371.38,1887.64,4180.67,2695.32,1994.94,1345.01,764.00,513.12,1432.24,1084.90,2614.42,1678.77,202.10,368.75,526.25,662.39,623.76,695.71,638.66,1275.09,1396.03,763.57,1961.05,1198.96,1285.50,1381.73,2598.66,1173.38,1138.74,1130.61,1930.17,1008.77,1260.30
1955,1266.19,3319.34,1089.47,2561.78,964.66,3048.83,777.09,756.53,1096.84,1277.35,2613.08,1831.80,1485.11,2088.72,4367.99,3038.77,2029.08,1534.07,773.41,581.95,1459.66,1138.64,2792.00,1668.74,190.86,366.00,524.56,670.49,629.27,682.43,645.24,1243.73,1339.61,749.78,1984.35,1228.25,1350.00,1466.62,2686.29,692.73,1145.85,1354.66,1782.36,1234.80,1424.50
1956,1334.33,3151.47,1164.49,2524.16,840.46,3261.54,1113.47,674.74,1041.85,1366.23,2607.94,1406.30,1463.12,1981.56,4694.02,2842.46,1851.54,1874.90,715.82,647.27,1335.20,1103.55,2874.95,1966.95,219.21,461.80,681.34,815.37,781.71,794.16,809.14,1370.40,1422.93,931.08,1796.54,1412.97,1162.20,1592.89,2557.78,1252.40,1601.29,1282.03,1815.92,1216.59,1243.57
1957,1037.11,3110.43,858.78,2125.49,842.70,2829.81,595.82,690.00,1122.03,1217.90,2585.16,1532.80,1174.19,1678.08,3560.66,2146.47,1767.93,1177.62,719.37,434.31,1079.01,951.90,2056.26,1304.62,251.23,532.70,845.24,971.65,945.66,890.64,980.07,1409.12,1468.73,1036.99,1833.46,1021.43,1293.20,1307.31,1700.00,867.05,1024.14,962.32,1794.38,958.78,1213.39
1958,1178.68,3209.67,1015.17,2255.91,959.39,3026.16,973.43,742.59,1041.97,1321.10,2501.19,1303.40,1342.01,1777.64,3524.48,2321.15,1905.73,1449.01,767.82,526.69,1244.37,977.48,2191.97,1478.66,178.63,335.50,439.92,568.74,531.50,619.82,543.91,1158.23,1261.42,652.87,1913.06,1204.26,1373.70,1421.92,2362.24,1178.75,1274.67,1215.38,1726.95,1075.80,1294.42
1959,1290.75,3575.09,998.71,2559.63,792.30,3387.81,1228.81,697.30,1137.48,1401.80,3555.04,1588.90,1496.81,2089.59,4479.54,3176.84,2019.81,1384.70,825.64,659.74,1341.27,1025.95,3108.24,2011.15,217.00,456.43,673.08,813.81,779.07,815.02,814.02,1454.13,1537.67,939.83,1996.49,1093.20,1278.50,1492.99,2925.99,1375.85,1251.68,1327.63,2192.85,998.94,1193.22
1960,1047.29,3170.74,835.33,2065.21,792.48,2449.79,542.86,600.12,880.69,1086.57,2917.33,2104.70,1102.29,1690.17,3694.66,2466.53,1656.69,1280.18,590.82,378.15,1274.33,1097.29,2453.69,1603.10,187.41,338.80,451.29,544.12,519.26,581.67,537.14,1006.67,1099.59,633.41,1583.05,1093.96,1027.60,1319.19,1757.46,835.24,1172.90,1111.89,1845.53,1044.39,1125.87
1961,1286.98,3137.32,995.78,2018.47,922.09,3802.55,1004.37,760.44,1094.86,1612.23,4053.46,1941.70,1473.70,1718.31,3371.94,3326.25,1661.06,1551.26,778.77,606.77,1341.30,1067.16,3025.87,1592.23,169.85,343.26,476.49,634.83,602.85,665.75,640.24,1252.66,1326.59,740.21,1829.45,1111.77,1382.70,1604.44,2253.74,1141.30,1274.03,1392.40,2663.87,1198.89,1296.47
1962,1169.53,3113.40,1147.46,2259.03,822.79,2851.22,654.48,694.78,1121.42,1299.30,2900.42,1665.30,1275.40,1635.42,3463.23,2328.00,1744.35,1375.68,859.30,452.11,1586.95,1085.71,2286.04,1582.07,170.04,368.75,488.13,663.91,620.42,721.07,642.98,1367.32,1485.67,759.85,1947.77,1266.18,1436.70,1376.14,1837.87,867.02,1129.14,1220.50,1804.03,1150.14,1276.17
1963,1149.64,3133.60,962.15,2257.69,796.12,2794.47,805.27,585.27,874.23,1176.58,2538.72,1793.10,1254.21,1715.67,3858.23,2357.11,1770.40,1439.71,554.93,432.90,1519.58,1144.42,2259.70,1800.86,153.36,291.98,440.87,500.97,484.91,513.84,512.89,857.14,961.75,584.91,1723.67,1339.49,1011.60,1478.08,2102.14,915.65,1407.42,1127.36,2062.84,1155.26,1271.09
