Variable:,tasmin
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
India,18.90,10.76,13.18,17.25,21.36,24.01,24.48,23.61,23.17,22.30,19.55,15.23,11.65
"Madhya Pradesh",19.46,10.22,12.91,17.78,22.83,26.53,26.41,24.29,23.66,22.91,19.65,14.96,11.09
Jharkhand,19.34,10.18,13.16,17.56,22.10,24.73,25.50,24.41,24.29,23.48,20.57,15.09,10.68
"Andaman and Nicobar",24.05,23.17,22.90,23.36,24.53,24.66,24.64,24.40,24.40,23.90,23.81,24.60,24.16
Chhattisgarh,20.20,12.31,15.29,19.31,23.38,26.37,25.70,23.80,23.59,23.27,20.63,16.13,12.41
"Administrative unit not available",3.80,-6.38,-4.88,-0.05,4.43,7.37,10.58,13.40,12.86,8.99,3.99,-1.21,-4.10
Chandigarh,17.52,6.42,9.08,13.82,19.30,23.53,26.01,25.60,25.02,23.27,18.16,11.82,7.77
"Administrative unit not available",2.15,-8.30,-6.70,-1.86,2.75,5.60,8.97,12.01,11.44,7.41,2.36,-2.76,-5.79
"Daman and Diu",21.70,14.50,15.96,19.40,22.68,25.76,27.06,25.85,25.21,24.44,22.94,19.92,16.37
"Administrative unit not available",-5.65,-17.00,-15.53,-10.20,-5.44,-2.98,1.46,4.62,4.48,0.59,-4.83,-10.17,-13.53
"Dadra and Nagar Haveli",20.81,13.77,15.39,19.09,22.78,25.53,25.51,24.21,23.81,23.27,21.91,18.71,15.43
"Administrative unit not available",-8.53,-20.76,-18.83,-13.44,-8.54,-5.72,-0.58,3.13,3.05,-1.34,-8.11,-14.06,-17.79
"Administrative unit not available",15.00,3.81,6.45,11.16,16.45,20.87,23.39,24.23,23.61,20.93,15.13,8.63,4.83
"Administrative unit not available",4.61,-5.25,-3.81,0.81,5.29,8.26,11.26,13.95,13.28,9.47,4.87,-0.23,-3.12
Bihar,19.72,9.67,12.14,16.71,21.61,24.73,26.22,25.88,25.83,24.97,21.97,15.62,10.85
"Administrative unit not available",0.85,-9.62,-8.21,-3.27,1.30,4.07,7.68,10.29,9.95,6.39,1.46,-3.72,-6.78
"Arunachal Pradesh",14.06,5.38,7.95,11.11,13.97,17.07,19.80,20.55,20.68,19.40,15.91,10.25,6.23
"Administrative unit not available",3.41,-6.74,-5.25,-0.46,4.03,6.94,10.13,12.95,12.39,8.52,3.66,-1.47,-4.39
"West Bengal",20.73,12.08,14.93,19.32,23.02,24.84,25.68,25.32,25.43,24.84,22.72,17.40,12.89
Maharashtra,20.46,14.22,16.28,20.04,23.73,25.87,24.69,23.21,22.68,22.26,20.62,17.28,14.47
Lakshadweep,24.82,23.70,23.95,24.93,26.04,25.97,25.25,25.03,24.93,24.80,24.69,24.40,24.13
"Administrative unit not available",6.88,-3.32,-1.58,3.04,7.66,11.05,13.99,16.09,15.48,12.02,7.13,1.80,-1.35
"Administrative unit not available",11.60,1.00,3.09,7.79,12.65,16.55,19.22,20.66,20.22,17.20,11.80,5.98,2.56
Kerala,22.38,20.65,21.49,22.86,24.12,23.88,22.80,22.33,22.44,22.47,22.36,22.10,21.11
