Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,2011,2011,ha,1863200,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,2012,2012,ha,1907000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,2013,2013,ha,1992200,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,2014,2014,ha,2024000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,2015,2015,ha,2076000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,2016,2016,ha,2117000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,2017,2017,ha,2179000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,2018,2018,ha,2142000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,2019,2019,ha,2173000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,2020,2020,ha,2158000,A,Official figure
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1961,1961,hg/ha,72507,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1962,1962,hg/ha,67041,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1963,1963,hg/ha,81477,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1964,1964,hg/ha,62482,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1965,1965,hg/ha,84033,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1966,1966,hg/ha,85094,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1967,1967,hg/ha,74403,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1968,1968,hg/ha,84410,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1969,1969,hg/ha,90113,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1970,1970,hg/ha,78883,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1971,1971,hg/ha,99755,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1972,1972,hg/ha,98099,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1973,1973,hg/ha,88208,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1974,1974,hg/ha,89457,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1975,1975,hg/ha,105982,E,Estimated value
