Variable:,tasmax
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
India,30.82,24.65,27.52,31.98,35.44,37.05,34.82,31.45,30.51,31.14,31.21,28.53,25.48
"Madhya Pradesh",32.49,25.37,28.88,34.22,38.84,41.25,38.01,31.85,30.14,31.62,33.00,30.09,26.52
Jharkhand,31.26,24.25,27.35,32.97,37.23,38.64,36.09,31.75,31.16,31.42,30.95,28.37,24.86
"Andaman and Nicobar",30.49,30.06,30.57,31.44,32.35,31.31,30.20,29.84,29.69,29.63,30.18,30.47,30.21
Chhattisgarh,32.21,26.73,29.96,34.65,38.50,40.61,36.45,30.86,30.06,31.06,31.38,29.43,26.86
"Administrative unit not available",14.47,1.88,4.06,9.75,15.18,19.01,22.18,23.87,22.99,21.25,17.02,10.84,4.99
Chandigarh,29.73,19.04,22.24,27.75,34.12,37.79,37.57,33.73,32.28,32.60,31.34,26.45,21.46
"Administrative unit not available",12.78,-0.18,2.01,7.62,13.17,17.03,20.64,22.86,22.01,20.00,15.38,9.13,3.06
"Daman and Diu",31.85,29.34,30.40,32.66,33.14,33.28,32.67,30.61,29.96,31.14,34.38,33.69,30.97
"Administrative unit not available",5.64,-6.95,-4.97,0.45,5.73,8.90,12.36,16.43,15.62,13.14,7.68,1.83,-3.18
"Dadra and Nagar Haveli",33.13,30.95,32.62,35.31,36.66,36.37,33.60,30.56,29.96,31.44,34.53,33.78,31.81
"Administrative unit not available",4.16,-8.86,-6.57,-1.22,4.06,7.38,11.29,16.06,15.19,12.10,5.65,-0.44,-5.41
"Administrative unit not available",27.89,16.09,19.16,24.29,30.87,35.87,37.01,33.77,32.41,32.20,30.08,24.21,18.28
"Administrative unit not available",14.94,2.65,4.65,10.16,15.58,19.56,22.81,23.96,23.06,21.49,17.62,11.51,5.70
Bihar,31.62,23.71,26.78,32.63,36.72,37.58,36.23,33.07,32.72,32.84,32.25,29.60,25.15
"Administrative unit not available",11.49,-0.63,1.51,6.88,12.16,15.66,18.48,20.76,19.86,18.07,13.73,7.97,2.84
"Arunachal Pradesh",24.51,18.59,20.07,22.82,24.82,26.68,28.01,28.03,28.31,27.60,25.96,22.99,19.98
"Administrative unit not available",13.93,1.38,3.47,9.11,14.55,18.38,21.65,23.37,22.50,20.74,16.51,10.37,4.52
"West Bengal",31.19,25.12,28.04,32.95,35.43,35.50,34.16,32.12,31.90,32.05,31.60,29.36,25.95
Maharashtra,33.35,30.15,32.86,36.49,39.03,39.93,35.15,30.84,29.89,31.31,33.02,31.63,30.02
Lakshadweep,30.95,31.51,31.28,31.58,32.00,31.47,30.20,29.83,29.89,29.99,30.69,31.32,31.65
"Administrative unit not available",17.72,5.61,7.79,13.10,18.77,23.03,25.92,25.98,24.99,23.79,20.27,14.33,8.51
"Administrative unit not available",23.35,11.65,14.51,19.84,25.83,30.19,31.43,29.91,28.84,28.09,25.41,19.78,14.25
Kerala,30.60,30.90,31.81,33.02,33.13,31.99,29.50,28.51,28.64,29.51,30.01,30.06,30.19
Karnataka,31.52,30.15,32.57,35.28,36.40,35.69,31.26,29.06,28.85,29.85,30.35,29.75,29.15
"Himachal Pradesh",14.15,3.57,5.83,10.66,15.69,19.14,20.88,21.28,20.31,18.99,15.57,10.71,6.64
Haryana,31.66,21.05,24.37,30.13,36.32,39.89,39.35,35.34,33.65,34.20,33.46,28.53,23.28
Gujarat,33.90,28.45,31.00,35.30,38.27,39.51,36.96,33.02,31.70,33.31,35.91,33.37,29.98
Uttarakhand,19.13,9.82,12.38,17.22,22.09,24.91,25.03,23.65,23.19,22.18,20.09,16.18,12.48
Goa,31.24,31.52,32.12,33.28,33.90,33.43,29.85,28.18,28.14,29.21,31.22,32.26,31.89
"Uttar Pradesh",32.42,22.90,26.51,32.65,38.22,40.68,39.03,34.31,33.07,33.57,33.41,29.75,24.71
Nagaland,24.98,19.73,21.39,24.57,25.97,27.07,27.43,27.40,27.64,27.53,26.53,23.60,20.67
Mizoram,27.32,22.69,25.21,28.79,30.22,29.98,28.54,28.27,28.29,28.81,28.18,25.80,23.03
Meghalaya,26.66,21.25,23.75,27.78,28.33,28.24,28.46,28.60,29.03,28.71,27.81,25.45,22.35
Puducherry,32.57,29.82,31.00,32.81,34.05,35.81,35.23,33.98,33.28,33.00,31.81,30.39,29.59
Delhi,31.59,21.05,24.48,30.48,36.53,39.64,38.94,35.11,33.48,34.02,33.29,28.58,23.23
Manipur,25.50,20.43,22.62,26.14,27.87,28.24,27.34,27.10,27.08,27.45,26.68,23.89,21.04
Assam,28.32,22.78,24.96,28.74,29.38,30.03,30.71,30.82,31.12,30.77,29.68,27.01,23.72
"Andhra Pradesh",33.45,29.89,32.82,36.12,38.21,39.40,36.02,32.78,32.00,32.45,32.04,30.44,29.22
Tripura,29.98,25.13,27.63,31.35,32.28,32.02,31.33,31.07,31.40,31.61,31.04,28.88,25.95
"Tamil Nadu",32.37,30.09,31.89,34.06,35.06,35.38,33.81,32.77,32.43,32.43,31.37,29.96,29.21
Sikkim,12.03,5.36,6.30,9.49,11.91,14.40,16.54,16.44,16.37,15.55,13.47,10.39,7.73
Rajasthan,33.28,23.91,27.25,32.95,38.20,41.22,39.84,35.51,33.56,34.62,35.28,30.73,25.99
Punjab,30.98,19.82,23.01,28.49,35.05,39.40,39.51,35.56,34.06,34.28,32.87,27.42,21.97
Orissa,31.70,26.88,29.86,33.77,36.50,37.80,34.98,31.04,30.58,31.31,31.17,29.43,27.08
