Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
India,24.29,17.31,19.56,23.89,27.81,30.33,29.42,27.02,26.46,26.22,24.65,20.74,17.84
"Madhya Pradesh",25.42,17.69,20.24,25.38,30.26,33.95,32.09,27.47,26.48,26.66,25.42,21.10,18.07
Jharkhand,24.86,17.14,19.62,24.79,29.48,31.72,30.53,27.61,27.32,27.04,25.08,20.50,17.23
"Andaman and Nicobar",27.10,26.28,26.39,27.19,28.33,28.09,27.28,26.99,27.01,26.84,26.99,27.13,26.68
Chhattisgarh,25.54,19.30,21.78,26.22,30.34,33.33,30.79,26.57,26.35,26.47,25.10,21.27,18.80
"Administrative unit not available",8.92,-2.66,-1.12,4.28,9.10,13.16,16.63,18.85,18.19,15.24,10.34,4.38,0.05
Chandigarh,23.21,12.19,14.67,19.99,26.02,30.75,32.07,29.63,28.62,27.85,24.20,18.20,13.87
"Administrative unit not available",7.19,-4.71,-3.01,2.24,7.16,11.21,14.93,17.58,16.90,13.77,8.65,2.70,-1.85
"Daman and Diu",26.16,21.47,22.52,25.35,27.30,29.09,29.50,27.75,27.19,27.15,27.79,25.65,22.97
"Administrative unit not available",-0.44,-12.63,-11.24,-5.64,-0.63,2.88,6.99,10.56,10.05,6.72,0.94,-4.97,-9.00
"Dadra and Nagar Haveli",26.36,22.07,23.42,26.59,29.16,30.45,29.14,26.73,26.47,26.69,27.42,25.09,22.95
"Administrative unit not available",-2.75,-15.60,-13.88,-8.28,-3.08,0.72,5.34,9.52,9.00,5.08,-1.86,-8.24,-12.42
"Administrative unit not available",21.35,9.68,12.22,17.33,23.15,28.44,30.67,29.31,28.35,26.79,22.45,16.05,11.27
"Administrative unit not available",9.62,-1.67,-0.22,4.94,9.77,13.92,17.35,19.22,18.51,15.70,11.11,5.32,0.94
Bihar,25.24,16.46,18.81,24.18,29.01,31.24,31.00,29.11,28.90,28.58,26.41,21.45,17.42
"Administrative unit not available",5.91,-5.56,-4.14,1.23,6.09,9.84,13.37,15.67,15.08,12.25,7.29,1.55,-2.44
"Arunachal Pradesh",19.06,11.75,13.47,16.76,19.44,21.63,23.63,24.18,24.29,23.37,20.70,16.33,12.84
"Administrative unit not available",8.46,-3.10,-1.60,3.74,8.58,12.64,16.13,18.38,17.72,14.76,9.92,4.03,-0.34
"West Bengal",25.60,18.48,20.86,25.72,29.15,30.12,29.58,28.36,28.32,28.17,26.65,22.47,19.05
Maharashtra,26.26,21.89,23.87,27.57,30.80,32.50,29.50,26.31,25.86,26.08,26.02,23.16,21.45
Lakshadweep,26.88,26.46,26.43,27.13,27.86,27.94,26.78,26.51,26.54,26.51,26.79,26.78,26.78
"Administrative unit not available",12.15,0.75,2.51,7.53,12.56,17.06,20.30,21.33,20.55,18.11,13.56,7.70,3.22
"Administrative unit not available",17.23,5.91,7.95,13.16,18.64,23.33,25.71,25.44,24.70,22.73,18.35,12.32,7.93
Kerala,25.58,24.76,25.55,26.85,27.56,27.14,25.34,24.56,24.78,25.22,25.38,25.12,24.67
Karnataka,25.33,22.87,24.82,27.42,29.06,28.93,26.18,24.65,24.62,24.83,24.90,23.38,22.35
"Himachal Pradesh",8.49,-2.05,-0.53,4.35,9.27,13.38,16.04,16.77,16.11,13.95,9.40,4.09,0.56
Haryana,24.95,13.71,16.51,22.13,28.21,33.02,34.04,31.15,29.85,29.30,25.97,19.93,15.19
Gujarat,26.73,19.69,21.90,26.32,30.02,32.39,31.68,28.91,27.92,28.11,28.03,24.41,21.08
Uttarakhand,13.43,3.92,5.64,10.27,15.16,19.17,20.47,19.72,19.37,17.80,14.05,9.29,5.90
Goa,26.05,24.40,25.05,26.90,28.45,28.79,26.40,25.12,25.24,25.41,26.34,25.65,24.87
"Uttar Pradesh",25.40,15.43,18.15,23.79,29.46,33.44,33.37,29.94,29.09,28.68,26.02,20.73,16.38
Nagaland,19.76,13.10,14.72,17.97,20.55,22.23,23.57,23.87,23.99,23.55,21.61,17.51,14.19
Mizoram,22.52,16.70,18.28,22.29,24.83,25.40,24.94,25.03,24.93,25.16,23.98,20.69,17.79
Meghalaya,22.07,15.43,17.33,21.46,23.73,24.31,25.16,25.63,25.86,25.41,23.68,19.94,16.70
Puducherry,27.68,24.91,25.79,27.44,29.18,30.54,30.03,28.96,28.50,28.23,27.38,26.00,25.10
Delhi,25.07,13.96,16.78,22.55,28.58,33.10,33.92,30.98,29.79,29.22,26.04,20.16,15.29
Manipur,20.30,13.95,15.55,19.23,22.04,23.17,23.44,23.69,23.56,23.52,22.01,18.19,14.97
Assam,23.24,16.27,18.21,22.03,24.32,25.59,26.95,27.37,27.54,27.00,24.97,20.96,17.40
"Andhra Pradesh",27.20,23.07,25.28,28.24,30.94,32.63,30.39,27.80,27.56,27.44,26.55,23.98,22.46
Tripura,24.93,18.30,20.33,24.79,27.26,27.75,27.75,27.83,27.96,27.97,26.63,22.85,19.50
"Tamil Nadu",26.83,24.22,25.42,27.29,29.00,29.55,28.51,27.62,27.39,27.26,26.43,25.06,24.12
Sikkim,5.63,-2.70,-1.45,2.37,5.95,8.88,11.54,12.12,11.86,10.54,6.68,2.08,-0.80
Rajasthan,25.82,15.50,18.41,24.07,29.60,33.84,33.89,30.75,29.29,29.05,26.81,21.31,16.97
Punjab,24.09,12.42,15.04,20.56,26.68,31.89,33.63,31.27,30.18,29.13,25.16,18.71,13.97
Orissa,25.67,20.05,22.45,26.34,29.52,31.52,29.87,26.87,26.81,26.92,25.70,22.15,19.70
